FOLDER,IN_FILE,CHANNEL,OFFSET,DURATION,DATE,TIME,HOUR,NDSI,ACI
"Black Bear 10.07-10.16/Data","S4A04633_20171012_160000.wav",0,0.000,3600.000,"2017-10-12","16:00:00.000",16,-0.193680,152.847382

"Black Bear 10.07-10.16/Data","S4A04633_20171012_160000.wav",1,0.000,3600.000,"2017-10-12","16:00:00.000",16,-0.226441,153.970615

"Black Bear 10.07-10.16/Data","S4A04633_20171012_130000.wav",0,0.000,3600.000,"2017-10-12","13:00:00.000",13,0.374590,147.679868

"Black Bear 10.07-10.16/Data","S4A04633_20171012_130000.wav",1,0.000,3600.000,"2017-10-12","13:00:00.000",13,0.491385,150.706014

"Black Bear 10.07-10.16/Data","S4A04633_20171012_190002.wav",0,0.000,3598.000,"2017-10-12","19:00:02.000",19,-0.057074,153.595294

"Black Bear 10.07-10.16/Data","S4A04633_20171012_190002.wav",1,0.000,3598.000,"2017-10-12","19:00:02.000",19,-0.355726,154.330227

"Black Bear 10.07-10.16/Data","S4A04633_20171012_090000.wav",0,0.000,3600.000,"2017-10-12","09:00:00.000",9,0.903361,143.904161

"Black Bear 10.07-10.16/Data","S4A04633_20171012_090000.wav",1,0.000,3600.000,"2017-10-12","09:00:00.000",9,0.822571,145.841344

"Black Bear 10.07-10.16/Data","S4A04633_20171013_000000.wav",0,0.000,3600.000,"2017-10-13","00:00:00.000",0,0.718223,152.840257

"Black Bear 10.07-10.16/Data","S4A04633_20171013_000000.wav",1,0.000,3600.000,"2017-10-13","00:00:00.000",0,0.175565,151.982274

"Black Bear 10.07-10.16/Data","S4A04633_20171013_030000.wav",0,0.000,3600.000,"2017-10-13","03:00:00.000",3,0.286241,149.589622

"Black Bear 10.07-10.16/Data","S4A04633_20171013_030000.wav",1,0.000,3600.000,"2017-10-13","03:00:00.000",3,-0.036073,149.669731

"Black Bear 10.07-10.16/Data","S4A04633_20171013_070002.wav",0,0.000,3598.000,"2017-10-13","07:00:02.000",7,0.200840,155.461862

"Black Bear 10.07-10.16/Data","S4A04633_20171013_070002.wav",1,0.000,3598.000,"2017-10-13","07:00:02.000",7,0.066314,156.787487

"Black Bear 10.07-10.16/Data","S4A04633_20171013_060000.wav",0,0.000,3600.000,"2017-10-13","06:00:00.000",6,-0.431028,154.655308

"Black Bear 10.07-10.16/Data","S4A04633_20171013_060000.wav",1,0.000,3600.000,"2017-10-13","06:00:00.000",6,-0.284239,154.697901

"Black Bear 10.07-10.16/Data","S4A04633_20171013_130000.wav",0,0.000,3600.000,"2017-10-13","13:00:00.000",13,0.859330,145.531939

"Black Bear 10.07-10.16/Data","S4A04633_20171013_130000.wav",1,0.000,3600.000,"2017-10-13","13:00:00.000",13,0.820928,147.781587

"Black Bear 10.07-10.16/Data","S4A04633_20171013_160000.wav",0,0.000,3600.000,"2017-10-13","16:00:00.000",16,0.004955,153.088600

"Black Bear 10.07-10.16/Data","S4A04633_20171013_090000.wav",0,0.000,3600.000,"2017-10-13","09:00:00.000",9,0.629510,145.146599

"Black Bear 10.07-10.16/Data","S4A04633_20171013_180000.wav",0,0.000,3600.000,"2017-10-13","18:00:00.000",18,0.049387,151.763904

"Black Bear 10.07-10.16/Data","S4A04633_20171013_160000.wav",1,0.000,3600.000,"2017-10-13","16:00:00.000",16,-0.246733,154.885662

"Black Bear 10.07-10.16/Data","S4A04633_20171013_180000.wav",1,0.000,3600.000,"2017-10-13","18:00:00.000",18,-0.275040,153.418448

"Black Bear 10.07-10.16/Data","S4A04633_20171013_090000.wav",1,0.000,3600.000,"2017-10-13","09:00:00.000",9,0.428982,147.638760

